issue_id,issue,period,complaint_records,share_percent,period_total_records
advertising-and-marketing-including-promotional-offers,"Advertising and marketing, including promotional offers",2024-H1,1535,4.35,35289
closing-your-account,Closing your account,2024-H1,2031,5.76,35289
fees-or-interest,Fees or interest,2024-H1,2977,8.44,35289
getting-a-credit-card,Getting a credit card,2024-H1,4594,13.02,35289
incorrect-information-on-your-report,Incorrect information on your report,2024-H1,4176,11.83,35289
other-features-terms-or-problems,"Other features, terms, or problems",2024-H1,3341,9.47,35289
problem-when-making-payments,Problem when making payments,2024-H1,2053,5.82,35289
problem-with-a-company-s-investigation-into-an-existing-problem,Problem with a company's investigation into an existing problem,2024-H1,5301,15.02,35289
problem-with-a-purchase-shown-on-your-statement,Problem with a purchase shown on your statement,2024-H1,7243,20.52,35289
trouble-using-your-card,Trouble using your card,2024-H1,1110,3.15,35289
