issue_id,issue,period,complaint_records,share_percent,period_total_records
advertising-and-marketing-including-promotional-offers,"Advertising and marketing, including promotional offers",2025-H1,1449,3.35,43317
closing-your-account,Closing your account,2025-H1,2961,6.84,43317
fees-or-interest,Fees or interest,2025-H1,3921,9.05,43317
getting-a-credit-card,Getting a credit card,2025-H1,5392,12.45,43317
incorrect-information-on-your-report,Incorrect information on your report,2025-H1,6015,13.89,43317
other-features-terms-or-problems,"Other features, terms, or problems",2025-H1,4019,9.28,43317
problem-when-making-payments,Problem when making payments,2025-H1,2459,5.68,43317
problem-with-a-company-s-investigation-into-an-existing-problem,Problem with a company's investigation into an existing problem,2025-H1,5967,13.78,43317
problem-with-a-purchase-shown-on-your-statement,Problem with a purchase shown on your statement,2025-H1,8649,19.97,43317
trouble-using-your-card,Trouble using your card,2025-H1,1373,3.17,43317
