authority_code,authority,period,housing_affordability_ratio
E06000002,Middlesbrough,2025-04-01,4.36
E06000003,Redcar and Cleveland,2025-04-01,4.70
E06000004,Stockton-on-Tees,2025-04-01,4.66
E06000006,Halton,2025-04-01,5.56
E06000023,"Bristol, City of",2025-04-01,8.88
E07000008,Cambridge,2025-04-01,11.32
E07000178,Oxford,2025-04-01,10.40
E08000003,Manchester,2025-04-01,6.82
E08000025,Birmingham,2025-04-01,6.53
E08000035,Leeds,2025-04-01,6.67
E09000007,Camden,2025-04-01,14.49
E09000020,Kensington and Chelsea,2025-04-01,21.87
