areacd,areanm,period,value
E06000001,Hartlepool,2024-04-01,4.78
E06000002,Middlesbrough,2024-04-01,4.73
E06000003,Redcar and Cleveland,2024-04-01,5.39
E06000004,Stockton-on-Tees,2024-04-01,5.1
E06000005,Darlington,2024-04-01,4.94
E06000006,Halton,2024-04-01,5.06
E06000007,Warrington,2024-04-01,6.71
E06000008,Blackburn with Darwen,2024-04-01,5.47
E06000009,Blackpool,2024-04-01,4.26
E06000010,"Kingston upon Hull, City of",2024-04-01,4.39
E06000011,East Riding of Yorkshire,2024-04-01,6.14
E06000012,North East Lincolnshire,2024-04-01,4.64
E06000013,North Lincolnshire,2024-04-01,4.91
E06000014,York,2024-04-01,8.53
E06000015,Derby,2024-04-01,6
E06000016,Leicester,2024-04-01,7.95
E06000017,Rutland,2024-04-01,8.86
E06000018,Nottingham,2024-04-01,6.34
E06000019,"Herefordshire, County of",2024-04-01,8.72
E06000020,Telford and Wrekin,2024-04-01,6.7
E06000021,Stoke-on-Trent,2024-04-01,4.9
E06000022,Bath and North East Somerset,2024-04-01,9.92
E06000023,"Bristol, City of",2024-04-01,8.6
E06000024,North Somerset,2024-04-01,8.29
E06000025,South Gloucestershire,2024-04-01,8.66
E06000026,Plymouth,2024-04-01,6.39
E06000027,Torbay,2024-04-01,8.22
E06000030,Swindon,2024-04-01,7.24
E06000031,Peterborough,2024-04-01,6.91
E06000032,Luton,2024-04-01,9.05
E06000033,Southend-on-Sea,2024-04-01,7.72
E06000034,Thurrock,2024-04-01,8.72
E06000035,Medway,2024-04-01,7.96
E06000036,Bracknell Forest,2024-04-01,9.55
E06000037,West Berkshire,2024-04-01,8.96
E06000038,Reading,2024-04-01,8.45
E06000039,Slough,2024-04-01,9.95
E06000040,Windsor and Maidenhead,2024-04-01,11.18
E06000041,Wokingham,2024-04-01,10.57
E06000042,Milton Keynes,2024-04-01,8.78
E06000043,Brighton and Hove,2024-04-01,10.68
E06000044,Portsmouth,2024-04-01,7.26
E06000045,Southampton,2024-04-01,7.23
E06000046,Isle of Wight,2024-04-01,7.52
E06000047,County Durham,2024-04-01,4.23
E06000049,Cheshire East,2024-04-01,7.71
E06000050,Cheshire West and Chester,2024-04-01,6.48
E06000051,Shropshire,2024-04-01,7.4
E06000052,Cornwall,2024-04-01,8.43
E06000054,Wiltshire,2024-04-01,8.65
E06000055,Bedford,2024-04-01,8.48
E06000056,Central Bedfordshire,2024-04-01,8.6
E06000057,Northumberland,2024-04-01,5.83
E06000058,"Bournemouth, Christchurch and Poole",2024-04-01,9.34
E06000059,Dorset,2024-04-01,9.91
E06000060,Buckinghamshire,2024-04-01,10.39
E06000061,North Northamptonshire,2024-04-01,7.14
E06000062,West Northamptonshire,2024-04-01,7.94
E06000063,Cumberland,2024-04-01,4.49
E06000064,Westmorland and Furness,2024-04-01,5.9
E06000065,North Yorkshire,2024-04-01,7.47
E06000066,Somerset,2024-04-01,7.88
E07000008,Cambridge,2024-04-01,10.98
E07000009,East Cambridgeshire,2024-04-01,9.5
E07000010,Fenland,2024-04-01,6.71
E07000011,Huntingdonshire,2024-04-01,8.63
E07000012,South Cambridgeshire,2024-04-01,10
E07000032,Amber Valley,2024-04-01,6.57
E07000033,Bolsover,2024-04-01,5.65
E07000034,Chesterfield,2024-04-01,5.81
E07000035,Derbyshire Dales,2024-04-01,8.05
E07000036,Erewash,2024-04-01,5.91
E07000037,High Peak,2024-04-01,7.6
E07000038,North East Derbyshire,2024-04-01,6.89
E07000039,South Derbyshire,2024-04-01,6.75
E07000040,East Devon,2024-04-01,8.63
E07000041,Exeter,2024-04-01,8.46
E07000042,Mid Devon,2024-04-01,8.07
E07000043,North Devon,2024-04-01,9.2
E07000044,South Hams,2024-04-01,10.27
E07000045,Teignbridge,2024-04-01,9.23
E07000046,Torridge,2024-04-01,8.74
E07000047,West Devon,2024-04-01,8.76
E07000061,Eastbourne,2024-04-01,7.81
E07000062,Hastings,2024-04-01,8.42
E07000063,Lewes,2024-04-01,10.94
E07000064,Rother,2024-04-01,10.33
E07000065,Wealden,2024-04-01,10.51
E07000066,Basildon,2024-04-01,8.47
E07000067,Braintree,2024-04-01,8.56
E07000068,Brentwood,2024-04-01,9.79
